annotator_id,article,vanilla,simple,cot,oracle,class,vanilla_mean,simple_mean,cot_mean,oracle_mean,class_mean,highlights
5,mpqa_69,"[4, 5, 2, 1]","[3, 5, 1, 1]","[4, 4, 1, 1]","[1, 5, 5, 5]","[4, 4, 3, 1]",3.0,2.5,2.5,4.0,3.0,"['On Thursday, Bush unveiled the new plan that calls for voluntary limits on greenhouse gas emissions by companies in accordance with economic growth instead of mandatory reduction targets.', 'We think this plan cannot be an \'alternative\' to Kyoto Protocol because it would allow the current greenhouse gas emissions of the United States to increase by around 30% compared to 1990 level in 2010,"" ', 'It also called on the U.S. to stop all air raids on Afghanistan, cease nuclear experiments and reduce U.S. military bases in Japan, among other requests.', '""Don\'t push the Japanese government or any other government to cooperate in your \'war against terrorism\'.""']"
5,allsides_us_senate_l_5,[5],[3],[3],[4],[5],5.0,3.0,3.0,4.0,5.0,"['The bill, which Democrats said would close loopholes in the 1963 Equal Pay Act, would require employers to prove that differences in pay were related to job performance, not gender; would prevent employers from forbidding employees from sharing salary information with each other; and would allow women who believe they were discriminated against to sue for damages.']"
6,mpqa_37,"[5, 5, 5, 5, 5, 3, 3, 3, 5, 5]","[5, 1, 5, 5, 1, 1, 1, 1, 1, 5]","[5, 1, 5, 5, 1, 1, 1, 3, 3, 5]","[5, 5, 5, 5, 1, 5, 5, 1, 5, 1]","[5, 5, 5, 5, 1, 5, 5, 1, 5, 1]",4.4,2.6,3.0,3.8,3.8,"['promote and protect human rights', 'promulgation of the Juvenile Justice System Ordinance,', 'establishment of a permanent commission on the status of women', 'police and jail reforms', 'national policy and plan of action for elimination of child labour and establishment of a fund for rehabilitation of working children', 'amended Pakistan Citizenship Act of 1951 to enable women of Pakistani descent to claim Pakistani nationality for their children', 'born to foreign husbands', 'A mass awareness campaign was launched as part of the observance of the Year 2000 as the year', 'of Human Rights and Human Dignity', 'elimination of worst forms of child labour']"
6,allsides_us_senate_l_5,"[1, 1, 5, 1, 1]","[5, 1, 5, 1, 5]","[1, 1, 1, 1, 1]","[1, 1, 5, 1, 5]","[1, 1, 5, 1, 1]",1.8,3.4,1.0,2.6,1.8,"[""women don't face pay discrimination"", 'prove that differences in pay were related to job performance,', ' allow women who believe they were discriminated against to sue for damages', 'close the pay gap', 'women earning just 77 cents on the dollar compared with men']"
7,mpqa_41,"[3, 4, 1]","[5, 5, 3]","[5, 5, 4]","[5, 5, 5]","[5, 5, 4]",2.6666666666666665,4.333333333333333,4.666666666666667,5.0,4.666666666666667,"['""Human rights and development were two sides of the same coin, and should be addressed in tandem.""', 'It was unrealistic to envisage that people who were suffering from lack of development, poverty, hunger and poor health could fully enjoy their human rights, several delegations', 'People should be at the center of social and economic development efforts. They had to be protected from other scourges and social ills, including disease, narcotic drugs, armed conflicts, terrorism and other types of transnational organized crime']"
7,allsides_white_house_l_3,"[5, 1, 1, 3, 1, 3]","[5, 5, 4, 3, 5, 1]","[5, 5, 2, 3, 5, 4]","[5, 3, 4, 1, 5, 4]","[5, 5, 3, 3, 5, 3]",2.3333333333333335,3.8333333333333335,4.0,3.6666666666666665,4.0,"['he was seeking to rebut ""inexcusable political rhetoric against Muslim-Americans""', '""Let me say as clearly as I can as president of the United States: you fit right here,""', 'You\'re not Muslim or American. You\'re Muslim and American."" As he decried GOP counterterror plans that would single out Muslims for extra scrutiny, Obama insisted that applying religious screens would only amplify messages coming from terrorist groups.', '""Together, we\'ve got to show that America truly protects all faiths. As we protect our country from terrorism, we should not reinforce the ideas and the rhetoric of the terrorists themselves', 'Obama demanded that people of all faiths be accepted without bias into the United States', ""We have to ... lift up the contributions of the Muslim-American community not when there's a problem, but all the time. Our television shows should have some Muslim characters that are unrelated to national security. It's not that hard to do""]"
8,mpqa_42,"[5, 3, 5, 5, 5, 3, 3]","[5, 5, 5, 5, 2, 2, 5]","[5, 3, 5, 3, 5, 4, 4]","[5, 5, 3, 5, 5, 3, 3]","[5, 5, 5, 5, 5, 3, 5]",4.142857142857143,4.142857142857143,4.142857142857143,4.142857142857143,4.714285714285714,"['""a pack of blatant lies and propaganda.""', 'Hameed Gul told IRNA in an interview here that each country which resisted American hegemony was deemed a violator of human rights.', 'was not ready to tolerate any hurdle in this direction and the recent report on human rights was also a manifestation of its hegemonistic designs,""', 'of the opinion that the US was the only country in the world that had no respect for any religion, faith, norms, decency, human rights and rules.', 'The US is the most fraudulent, terrorist and extremist country. ', 'He said it clearly means that the Muslims have no right to defend themsleves against their oppressors.', 'America wants total submission of Muslims across the globe,']"
8,allsides_race_and_racism_l_3,"[5, 5, 3, 1, 1, 1, 1, 1, 1]","[5, 5, 2, 5, 4, 1, 5, 5, 5]","[5, 1, 3, 1, 2, 1, 4, 5, 5]","[5, 5, 4, 2, 2, 1, 5, 1, 4]","[5, 5, 5, 5, 1, 1, 3, 5, 5]",2.111111111111111,4.111111111111111,3.0,3.2222222222222223,3.888888888888889,"['Nowhere is that reality more gut-wrenching and visible than in the police violence that kills black Americans at nearly three times the rate of white Americans.', ' it is cruel and somewhat ironic that some are now pointing to “underlying health conditions” as a contributing factor in Floyd’s death,', 'But it also illuminates another way in which racism is deadly.', 'They are more likely to be obese and get insufficient sleep, which can contribute to such health issues.', 'For generations, communities of color have faced vast disparities in job opportunities, income and inherited family wealth', 'the racism endured by black mothers contributes to the alarmingly high maternal and infant mortality rate.', 'they are more likely to receive worse care than white Americans do.', 'This in part explains why even before this pandemic, black children had a 500 percent higher death rate from asthma than white children.', 'Systemic racism has had its knee on the neck of the African American community since America began.']"
9,allsides_white_house_c_2,"[5, 1]","[4, 5]","[5, 1]","[5, 1]","[5, 5]",3.0,4.5,3.0,3.0,5.0,"['sanctions affect 13 Iranian individuals and 12 companies,', 'or provocative tweets ']"
10,mpqa_39,"[5, 5, 2, 3, 5, 5]","[5, 5, 1, 3, 4, 5]","[2, 4, 1, 4, 5, 5]","[4, 5, 2, 4, 4, 5]","[5, 4, 3, 4, 5, 5]",4.166666666666667,3.8333333333333335,3.5,4.0,4.333333333333333,"['eturn of the period in which force and weapon had the last say in international relations', ""The IHRC called for prohibition of discrimination, torture, arbitrary detention and honoring the human rights, political rights, the rights of associations, the women's rights as well as the rights"", 'The human communities have suffered heavy human losses in the course of devastating world wars and understood that any progress in human communities is dependent on honoring the human rights,', 'he statement deplored the injustice against the Palestinian nation and violation of human rights of political activists, journalists, the religious minorities, the children and women in some parts of the world.', ' The statement urged the statesmen in different countries to heed the religious teachings calling for respect for human rights and said that no peace will be established without honoring human', 'She denounced Israeli terrorist attacks against Palestinian activists, urging it to halt what she called targeted killing of Palestinians.']"
10,allsides_abortion_c_2,"[1, 1, 1, 2, 1]","[1, 1, 1, 2, 3]","[1, 1, 1, 3, 2]","[1, 2, 2, 2, 2]","[1, 1, 3, 3, 2]",1.2,1.6,1.6,1.8,2.0,"['Andrea Blieden, U.S. general manager of The Body Shop tells CNBC Make It that ""access to reproductive health care is recognized as a human right"" and says the letter emphasizes the company\'s outlook that it is essential U.S. law ""respect, protect and fulfill the human rights of women.""', 'As a brand that stands for equality and women\'s empowerment, we believe it\'s important that we take a stand and join this cause."" ', '""We\'re deep believers that companies and businesses can and must be a force for good,"" he says. ""You\'ll notice in our mission that we don\'t talk at all about selling eco-friendly home and personal care products. We talk about the change we\'re trying to create in the world, and that\'s inclusive of social change, with this being a pivotal issue.""', 'In May, seven female CEOs from companies including Sustain Natural, Thinx and LOOM ran a full-page ad in The New York Times affirming abortion as healthcare and a human right, and urging other business leaders to do the same.', ' ""It\'s critical that business leaders stand up and use our voice on incredibly important issues,"" says Bergstein. ""And I think reproductive rights and women\'s equality is one of the most important issues of our time.""']"
11,mpqa_34,"[2, 2, 1, 4]","[2, 4, 1, 4]","[4, 5, 1, 4]","[3, 4, 1, 4]","[4, 4, 1, 4]",2.25,2.75,3.5,3.0,3.25,"[""Office of the State Council, China's Cabinet, listed evidence of police abuses, poverty, racial discrimination and lack of personal safety in the United States"", 'China releases the report every year in response to a US State Department report on global human rights conditions, which usually accuses China of widespread abuses', ',', ' ""Once again the United States, assuming the role of `world judge of human rights\' has distorted human rights conditions in many countries and regions in the world, including China, and accused them of human rights violations, all the while turning a blind eye to its own human rights-related problems,""']"
11,allsides_coronavirus_c_1,"[5, 5, 1, 1]","[1, 3, 2, 3]","[1, 4, 2, 3]","[5, 5, 1, 1]","[5, 5, 1, 1]",3.0,2.25,2.5,3.0,3.0,"['What’s happening It’s a commonly accepted truth that the only way the coronavirus pandemic will come to an end is through the development of an effective vaccine.', 'There are currently more than 100 potential vaccines in some stage of development, some of which have advanced to human trials. The Trump administration launched “Operation Warp Speed” in May with the goal of having millions of doses available by the end of the year.', 'The other path — waiting until enough people have been infected — could lead to millions of deaths, epidemiologists say.', '“If you’re imagining there’ll be one golden day when a vaccine is approved and the pandemic will be over — Finally! We can all crowd into one another’s living rooms and resume choir practice again — I’m afraid it won’t be quite like that. But it will be the beginning of the end. There’s much to be hopeful about, and enormous challenges lie ahead.” — Caroline Chen, ProPublica']"
12,basil_5_hpo,"[5, 1, 5, 5, 1, 5, 3, 1]","[1, 5, 5, 5, 1, 1, 1, 1]","[5, 1, 1, 1, 1, 4, 1, 1]","[1, 1, 3, 4, 1, 5, 5, 1]","[1, 5, 1, 4, 1, 1, 1, 1]",3.25,2.5,1.875,2.625,1.875,"['tolerating bigotry and approved a resolution condemning racism within the political movement.', '""I hope it will empower the tea party to actually look at itself and see that there are those who are noticing things that I think most tea partiers don\'t want', '""saddened by the NAACP\'s claim that patriotic Americans ... are somehow \'racists.\'', ""It's time for the tea party to be responsible members of this democracy and make sure they don't tolerate bigots or bigotry among their members"", '\'"" NAACP President Ben Jealous said ahead of the debate. ', 'The group has faced occasional claims of racism, most notably in March near the end of the bitter health care debate.', 'many of them tea party activists, yelled a racial epithet as the black congressmen walked from House office buildings to the Capitol.', '""They are pulling people together and focusing on the negative, and then it\'s hard to make anything positive out of that,"" said Anita L. Russell, president of the Kansas City, Mo., branch of the NAACP, which introduced the resolution. ']"
12,allsides_gun_control_and_gun_rights_l_4,"[1, 4, 5, 1, 1, 5]","[1, 5, 1, 1, 1, 1]","[3, 3, 1, 1, 1, 5]","[5, 5, 3, 1, 1, 3]","[5, 5, 1, 1, 1, 5]",2.8333333333333335,1.6666666666666667,2.3333333333333335,3.0,3.0,"[""As House Democrats staged a sit-in in Congress in the wake of the shooting at a nightclub this month in Orlando, the public has again been left wondering if there is any politically feasible path to dealing with this country's problem with mass shootings."", 'when it responded with a complete ban on the possession of rapid-fire rifles and overall tightening of its overall gun regulation regime', 'fectual. Third, the background check system needs to be strengthened by making sure all prohibited purchasers are included in the system', 'Dylann Roof , accused of killingnine church members a year ago in Charleston, South Carolina,will be kept from getting weapons. ', 'The Orlando shooter is alleged to have been a violent wife abuser.', 'In addition to an improved and universal background check system, we must also look at a return to the federal assault weapons ban']"
13,mpqa_60,"[2, 4, 4, 2, 2, 4]","[2, 4, 5, 1, 2, 4]","[2, 4, 2, 2, 2, 3]","[2, 4, 4, 2, 2, 4]","[4, 5, 5, 2, 2, 4]",3.0,3.0,2.5,3.0,3.6666666666666665,"[""Didymus Mutasa, a spokesman for Mugabe's ruling ZANU-PF party, said that he and other veterans of the country's independence war found the prospect of a Tsvangirai government intolerable."", '""Under these circumstances, if there were to be a coup, we would support it very definitely."" ', 'At least 34 people have died in political violence this year, almost all of them supporters of the Movement for Democratic Change. ', ' a 78-year-old autocrat desperate to remain in power and an opposition party dominated by restless young citizens weary of government corruption, food shortages and unemployment. ', ""Opposition officials say that 22 of their polling agents have been abducted in the past week, and a surge in violent attacks in swing districts could persuade enough opposition supporters to vote for ZANU-PF to ensure Mugabe's victory."", ' ""Clearly, Mugabe is doing everything he can to steal this election,"" said John Makumbe, a political science professor at the University of Zimbabwe. ']"
13,allsides_immigration_l_1,"[3, 3, 2, 4]","[3, 3, 2, 3]","[5, 4, 2, 4]","[4, 4, 5, 4]","[4, 3, 4, 3]",3.0,2.75,3.75,4.25,3.5,"['Indeed, immigrants not only helped build what Ronald Reagan once famously called a “shining city upon a hill”—they’ve sustained it.', 'In fact, some of America’s most profitable and celebrated companies, including Budweiser and McDonald’s, were either founded by immigrants or offspring of immigrants.', 'But a study in the journal Health Affairs found undocumented immigrants pay $13.8 billion more into Medicare than they receive, resulting in a surplus.', 'o reside in the U.S. unlawfully simply overstayed their visas. The average immigrant, both documented and undocumented, comes to the United States for freedom and opportunity: a chance to flee economic or political hardship and take part in the American dream. ']"
14,mpqa_26,[5],[5],[4],[5],[3],5.0,5.0,4.0,5.0,3.0,"['Tokyo irked by US stance on Kyoto TOKYO - Coral reefs will die from water that\'s too hot. Polar bears will have less room to roam, crowding some of them out of existence. Birds will start flying an extra mile north each year, and may starve when they get there. These are among the dire possible consequences of global warming, say climate-change experts. At no time was it clearer that countries should take steps to slow this process than when 150 countries signed the Kyoto Protocol in 1997. But now, with President George Bush saying the US will not ratify the protocol - which was shaped in part to fit Washington\'s concerns five years ago - the accord\'s ultimate effectiveness is in doubt, and many US allies are irritated. For Japan, a nation of nature-lovers, the shaping of the accord on their soil was a source of pride - and proof that they were still relevant players on the world stage. ""It is absolutely inadmissible for the US, which is the greatest gas-emitting country, to once again turn its back and present something that is against Kyoto Protocol and the framework convention on climate change,"" says Mie Asaoka, president of the Kiko Network, a Tokyo environmental-umbrella organization representing about 150 Japanese groups. The clash over how to stop global warming while allowing sluggish economies to prosper occurs at an awkward point in US-Japanese relations. US analysts looking east say that as Japan\'s economic dominance in Asia diminishes, so will the importance of the US-Japan relationship as a whole. The US Department of Defense recently left Japan off its list of nations contributing to the post-Sept. 11 war on terror. Realizing the accidental slight, the US later apologized for overlooking Prime Minister Junichiro Koizumi\'s efforts - considered tremendously ambitious here - to alter the interpretation of Japan\'s post-World War II pacifist constitution in order to dispatch warships for noncombat support. During Mr. Bush\'s visit here last month, Mr. Koizumi gently balked at the president\'s proposed alternative to the Kyoto agreement, saying that Japan would ""like to see further efforts"" on the part of the US. While there are no protesters in the streets, there is an air of indignation here over Washington\'s ""do-it-our-way"" decision on something that effects the whole globe. Among the Kiko Network\'s handouts is a pamphlet with a cartoon of the world. On one end, Koizumi defensively holds up the Kyoto Protocol. On the other, a fiendish-looking Bush seizes a weeping globe in his monster-size hands. In the eyes of Japan and many US allies, the Bush administration\'s decision not to ratify the Kyoto Protocol is one of many signals that Washington is growing increasingly unilateralist in the six months since the Sept. 11 attacks on America. From pulling out of Kyoto - which is in the process of being ratified by the European Union - to labeling Iran, Iraq, and North Korea an ""axis of evil"" and prime targets in the next phase of the war, America\'s allies are seeing in the US a growing tendency to act first and consult later. The Bush administration is offering its own alternative plan, the Clear Skies and Global Climate Change Initiatives, which aides say are more market-sensitive and will reduce the worst air pollutants by 70 percent while finding a strategy to cut greenhouse gas intensity by 18 percent over the next 10 years. But environmental advocates say Bush\'s alternative will allow the US to continue to increase the amount of gas it emits. They fear that, because the US is forging its own way, smaller nations that are expected to ratify the Kyoto Protocol could start backing out. This could lead to a two-tier system in which the US and a few others - Australia and Canada may follow suit - will choose their own targets, while the rest of the world will be limited to the stricter Kyoto limits. Not everyone in Japan is upset with Bush\'s alternative. Japanese industry has already gone through vigorous energy-saving - and thus environmentally friendly - drives after the two energy crises of the 1970s and 1980s, says Mitsuru Shinozaki, a spokesman for Keidanren, the country\'s most influential business lobby. After the Earth Summit of 10 years ago, he says, Japan discussed and implemented a self-action plan to reduce carbon-dioxide emissions. ""Any further policy to reduce emissions,"" he says ""will hurt Japanese industrial competitiveness.""']"
